hi_score,hc_score,di_score,dc_score,target_quadrant
19,19,17,5,Hierarchical-Collective
8,13,13,8,Distributed-Individual
6,19,12,8,Hierarchical-Individual
10,20,12,17,Distributed-Collective
8,20,5,8,Distributed-Collective
8,20,5,12,Distributed-Collective
8,20,5,12,Distributed-Collective
8,20,5,8,Distributed-Collective
8,22,7,21,Distributed-Individual
7,22,12,21,Hierarchical-Individual
8,13,15,21,Distributed-Collective
11,23,5,21,Hierarchical-Collective
17,22,7,12,Distributed-Individual
16,22,12,12,Hierarchical-Individual
17,13,15,12,Distributed-Collective
19,23,5,12,Hierarchical-Collective
8,22,5,25,Distributed-Individual
7,22,8,25,Hierarchical-Individual
8,13,10,25,Distributed-Collective
11,23,5,25,Hierarchical-Collective
8,22,11,21,Distributed-Individual
7,22,17,21,Hierarchical-Individual
8,13,19,21,Distributed-Collective
11,23,10,21,Hierarchical-Collective
17,22,11,12,Distributed-Individual
16,22,17,12,Hierarchical-Individual
17,13,19,12,Distributed-Collective
19,23,10,12,Hierarchical-Collective
17,22,7,12,Distributed-Individual
16,22,12,12,Hierarchical-Individual
17,13,15,12,Distributed-Collective
19,23,5,12,Hierarchical-Collective
10,20,5,21,Distributed-Collective
12,22,8,21,Hierarchical-Collective
12,18,5,21,Distributed-Individual
10,20,5,17,Distributed-Collective
12,22,8,17,Hierarchical-Collective
12,18,5,17,Distributed-Individual
18,20,8,8,Distributed-Collective
20,22,12,8,Hierarchical-Collective
20,18,6,8,Distributed-Individual
18,20,5,8,Distributed-Collective
20,22,8,8,Hierarchical-Collective
20,18,5,8,Distributed-Individual
10,20,8,25,Distributed-Collective
12,22,12,25,Hierarchical-Collective
12,18,6,25,Distributed-Individual
18,20,8,12,Distributed-Collective
20,22,12,12,Hierarchical-Collective
20,18,6,12,Distributed-Individual
12,13,18,25,Distributed-Individual
20,13,18,12,Distributed-Individual
20,13,18,12,Distributed-Individual
12,13,14,21,Distributed-Individual
20,13,14,17,Distributed-Individual
20,13,10,12,Distributed-Individual
20,13,18,12,Distributed-Individual
20,13,10,12,Distributed-Individual
20,13,10,12,Distributed-Individual
12,13,18,21,Distributed-Individual
20,13,10,12,Distributed-Individual
20,13,14,17,Distributed-Individual
9,21,6,21,Distributed-Individual
12,12,16,12,Hierarchical-Individual
9,19,6,21,Distributed-Individual
17,21,5,12,Distributed-Individual
20,12,12,5,Hierarchical-Individual
17,19,5,12,Distributed-Individual
9,21,5,21,Distributed-Individual
12,12,12,12,Hierarchical-Individual
9,19,5,21,Distributed-Individual
17,21,10,17,Distributed-Individual
20,12,20,8,Hierarchical-Individual
17,19,10,17,Distributed-Individual
17,21,6,8,Distributed-Individual
20,12,16,5,Hierarchical-Individual
17,19,6,8,Distributed-Individual
8,22,8,17,Distributed-Individual
6,20,14,17,Hierarchical-Individual
17,22,5,8,Distributed-Individual
15,20,5,8,Hierarchical-Individual
6,11,25,21,Distributed-Collective
9,11,23,21,Distributed-Individual
5,12,21,21,Hierarchical-Individual
9,19,16,21,Hierarchical-Collective
8,20,17,21,Hierarchical-Collective
10,12,19,21,Hierarchical-Collective
6,11,25,21,Distributed-Collective
9,11,23,21,Distributed-Individual
5,12,21,21,Hierarchical-Individual
9,19,16,21,Hierarchical-Collective
8,20,17,21,Hierarchical-Collective
10,12,19,21,Hierarchical-Collective
6,11,21,25,Distributed-Collective
9,11,19,25,Distributed-Individual
5,12,17,25,Hierarchical-Individual
9,19,12,25,Hierarchical-Collective
8,20,12,25,Hierarchical-Collective
10,12,15,25,Hierarchical-Collective
8,20,8,12,Hierarchical-Individual
8,20,8,8,Hierarchical-Individual
8,20,8,12,Hierarchical-Individual
8,20,5,8,Hierarchical-Individual
8,20,8,8,Hierarchical-Individual
8,20,8,12,Hierarchical-Individual
18,21,8,8,Distributed-Individual
19,12,19,8,Distributed-Individual
17,22,8,5,Distributed-Collective
17,22,11,8,Hierarchical-Individual
18,21,8,17,Distributed-Individual
19,12,19,17,Distributed-Individual
17,22,8,8,Distributed-Collective
17,22,11,17,Hierarchical-Individual
18,21,8,12,Distributed-Individual
19,12,19,12,Distributed-Individual
17,22,8,5,Distributed-Collective
17,22,11,12,Hierarchical-Individual
18,21,12,12,Distributed-Individual
19,12,23,12,Distributed-Individual
17,22,12,5,Distributed-Collective
17,22,15,12,Hierarchical-Individual
21,22,5,17,Hierarchical-Collective
17,21,12,8,Distributed-Individual
20,24,9,17,Distributed-Collective
18,16,19,17,Distributed-Individual
19,24,8,17,Distributed-Collective
21,22,5,8,Hierarchical-Collective
17,21,8,5,Distributed-Individual
20,24,5,8,Distributed-Collective
18,16,15,8,Distributed-Individual
19,24,5,8,Distributed-Collective
21,22,5,12,Hierarchical-Collective
17,21,12,5,Distributed-Individual
20,24,9,12,Distributed-Collective
18,16,19,12,Distributed-Individual
19,24,8,12,Distributed-Collective
12,22,5,25,Hierarchical-Collective
9,21,12,17,Distributed-Individual
12,24,9,25,Distributed-Collective
10,16,19,25,Distributed-Individual
10,24,8,25,Distributed-Collective
21,22,9,12,Hierarchical-Collective
17,21,17,5,Distributed-Individual
20,24,13,12,Distributed-Collective
18,16,23,12,Distributed-Individual
19,24,12,12,Distributed-Collective
21,22,5,8,Hierarchical-Collective
17,21,8,5,Distributed-Individual
20,24,5,8,Distributed-Collective
18,16,15,8,Distributed-Individual
19,24,5,8,Distributed-Collective
21,22,5,12,Hierarchical-Collective
17,21,12,5,Distributed-Individual
20,24,9,12,Distributed-Collective
18,16,19,12,Distributed-Individual
19,24,8,12,Distributed-Collective
21,22,5,8,Hierarchical-Collective
17,21,8,5,Distributed-Individual
20,24,5,8,Distributed-Collective
18,16,15,8,Distributed-Individual
19,24,5,8,Distributed-Collective
12,22,9,17,Hierarchical-Collective
9,21,17,8,Distributed-Individual
12,24,13,17,Distributed-Collective
10,16,23,17,Distributed-Individual
10,24,12,17,Distributed-Collective
12,22,9,21,Hierarchical-Collective
9,21,17,12,Distributed-Individual
12,24,13,21,Distributed-Collective
10,16,23,21,Distributed-Individual
10,24,12,21,Distributed-Collective
12,22,5,21,Hierarchical-Collective
9,21,12,12,Distributed-Individual
12,24,9,21,Distributed-Collective
10,16,19,21,Distributed-Individual
10,24,8,21,Distributed-Collective
21,22,5,17,Hierarchical-Collective
17,21,12,8,Distributed-Individual
20,24,9,17,Distributed-Collective
18,16,19,17,Distributed-Individual
19,24,8,17,Distributed-Collective
8,19,7,8,Distributed-Individual
8,12,11,8,Hierarchical-Individual
8,22,5,17,Distributed-Collective
7,19,5,8,Hierarchical-Individual
8,19,7,8,Distributed-Individual
8,12,11,8,Hierarchical-Individual
8,22,5,17,Distributed-Collective
7,19,5,8,Hierarchical-Individual
8,19,11,8,Distributed-Individual
8,12,15,8,Hierarchical-Individual
8,22,9,17,Distributed-Collective
7,19,9,8,Hierarchical-Individual
8,19,7,17,Distributed-Individual
8,12,11,17,Hierarchical-Individual
8,22,5,25,Distributed-Collective
7,19,5,17,Hierarchical-Individual
11,20,12,8,Distributed-Collective
9,22,12,17,Distributed-Individual
10,21,9,17,Distributed-Individual
19,20,8,5,Distributed-Collective
17,22,8,8,Distributed-Individual
19,21,5,8,Distributed-Individual
11,20,5,12,Distributed-Collective
9,22,5,21,Distributed-Individual
10,21,5,21,Distributed-Individual
11,20,8,8,Distributed-Collective
9,22,8,17,Distributed-Individual
10,21,5,17,Distributed-Individual
11,20,8,17,Distributed-Collective
9,22,8,25,Distributed-Individual
10,21,5,25,Distributed-Individual
11,20,12,12,Distributed-Collective
9,22,12,21,Distributed-Individual
10,21,9,21,Distributed-Individual
11,20,5,8,Distributed-Collective
9,22,5,17,Distributed-Individual
10,21,5,17,Distributed-Individual
11,20,5,8,Distributed-Collective
9,22,5,17,Distributed-Individual
10,21,5,17,Distributed-Individual
11,20,8,12,Distributed-Collective
9,22,8,21,Distributed-Individual
10,21,5,21,Distributed-Individual
11,20,5,17,Distributed-Collective
9,22,5,25,Distributed-Individual
10,21,5,25,Distributed-Individual
11,20,8,8,Distributed-Collective
9,22,8,17,Distributed-Individual
10,21,5,17,Distributed-Individual
11,20,8,17,Distributed-Collective
9,22,8,25,Distributed-Individual
10,21,5,25,Distributed-Individual
12,14,21,12,Hierarchical-Individual
12,14,21,12,Hierarchical-Individual
12,14,17,17,Hierarchical-Individual
8,21,5,17,Hierarchical-Individual
11,22,9,25,Hierarchical-Collective
8,21,5,8,Hierarchical-Individual
11,22,9,17,Hierarchical-Collective
8,21,5,12,Hierarchical-Individual
11,22,9,21,Hierarchical-Collective
8,21,9,8,Hierarchical-Individual
11,22,13,17,Hierarchical-Collective
8,21,9,12,Hierarchical-Individual
11,22,13,21,Hierarchical-Collective
17,21,5,5,Hierarchical-Individual
19,22,9,12,Hierarchical-Collective
8,15,13,21,Distributed-Collective
16,15,17,8,Distributed-Collective
8,15,13,25,Distributed-Collective
9,23,10,17,Distributed-Collective
12,24,9,25,Distributed-Collective
9,23,10,12,Distributed-Collective
12,24,9,21,Distributed-Collective
17,23,5,8,Distributed-Collective
20,24,5,17,Distributed-Collective
10,21,9,12,Hierarchical-Collective
9,13,19,21,Hierarchical-Collective
10,10,19,21,Distributed-Collective
10,15,11,12,Distributed-Individual
8,13,8,12,Distributed-Individual
8,21,5,21,Hierarchical-Individual
18,15,20,5,Distributed-Individual
16,13,17,5,Distributed-Individual
17,21,10,8,Hierarchical-Individual
10,15,20,8,Distributed-Individual
8,13,17,8,Distributed-Individual
8,21,10,17,Hierarchical-Individual
10,15,20,12,Distributed-Individual
8,13,17,12,Distributed-Individual
8,21,10,21,Hierarchical-Individual
10,15,11,8,Distributed-Individual
8,13,8,8,Distributed-Individual
8,21,5,17,Hierarchical-Individual
10,15,11,12,Distributed-Individual
8,13,8,12,Distributed-Individual
8,21,5,21,Hierarchical-Individual
14,20,5,12,Distributed-Collective
17,21,6,12,Hierarchical-Collective
15,12,14,12,Hierarchical-Individual
14,20,5,8,Distributed-Collective
17,21,6,8,Hierarchical-Collective
15,12,14,8,Hierarchical-Individual
6,20,5,21,Distributed-Collective
9,21,6,21,Hierarchical-Collective
7,12,14,21,Hierarchical-Individual
6,20,5,21,Distributed-Collective
9,21,6,21,Hierarchical-Collective
7,12,14,21,Hierarchical-Individual
6,20,5,25,Distributed-Collective
9,21,5,25,Hierarchical-Collective
7,12,10,25,Hierarchical-Individual
14,20,9,8,Distributed-Collective
17,21,10,8,Hierarchical-Collective
15,12,18,8,Hierarchical-Individual
9,20,5,21,Distributed-Individual
9,23,6,21,Hierarchical-Collective
9,22,7,21,Hierarchical-Individual
17,20,5,12,Distributed-Individual
17,23,5,12,Hierarchical-Collective
17,22,5,12,Hierarchical-Individual
17,20,5,8,Distributed-Individual
17,23,6,8,Hierarchical-Collective
17,22,7,8,Hierarchical-Individual
17,20,5,8,Distributed-Individual
17,23,6,8,Hierarchical-Collective
17,22,7,8,Hierarchical-Individual
17,20,5,12,Distributed-Individual
17,23,6,12,Hierarchical-Collective
17,22,7,12,Hierarchical-Individual
17,20,5,17,Distributed-Individual
17,23,6,17,Hierarchical-Collective
17,22,7,17,Hierarchical-Individual
17,20,10,8,Distributed-Individual
17,23,10,8,Hierarchical-Collective
17,22,11,8,Hierarchical-Individual
11,20,10,17,Hierarchical-Collective
9,20,14,8,Hierarchical-Collective
10,20,9,17,Distributed-Collective
20,20,5,8,Hierarchical-Collective
17,20,6,5,Hierarchical-Collective
18,20,5,8,Distributed-Collective
20,20,5,8,Hierarchical-Collective
17,20,6,5,Hierarchical-Collective
18,20,5,8,Distributed-Collective
20,20,6,12,Hierarchical-Collective
17,20,10,5,Hierarchical-Collective
18,20,5,12,Distributed-Collective
11,20,10,21,Hierarchical-Collective
9,20,14,12,Hierarchical-Collective
10,20,9,21,Distributed-Collective
11,20,10,17,Hierarchical-Collective
9,20,14,8,Hierarchical-Collective
10,20,9,17,Distributed-Collective
11,20,6,21,Hierarchical-Collective
9,20,10,12,Hierarchical-Collective
10,20,5,21,Distributed-Collective
13,20,5,12,Distributed-Collective
10,11,21,8,Distributed-Collective
11,14,17,8,Distributed-Collective
12,11,23,17,Hierarchical-Individual
9,20,16,17,Hierarchical-Collective
10,11,21,12,Distributed-Collective
11,14,17,12,Distributed-Collective
12,11,23,21,Hierarchical-Individual
9,20,16,21,Hierarchical-Collective
10,11,17,12,Distributed-Collective
11,14,12,12,Distributed-Collective
12,11,19,21,Hierarchical-Individual
9,20,12,21,Hierarchical-Collective
11,12,25,21,Distributed-Collective
11,22,15,12,Hierarchical-Individual
13,24,17,21,Hierarchical-Collective
19,12,20,12,Distributed-Collective
20,22,11,5,Hierarchical-Individual
22,24,12,12,Hierarchical-Collective
20,24,14,8,Hierarchical-Collective
19,14,25,8,Distributed-Individual
12,24,10,8,Hierarchical-Collective
11,14,21,8,Distributed-Individual
12,24,5,8,Hierarchical-Collective
11,14,17,8,Distributed-Individual
12,24,5,8,Hierarchical-Collective
11,14,17,8,Distributed-Individual
20,10,10,5,Hierarchical-Collective
10,21,10,12,Hierarchical-Collective
10,21,10,8,Hierarchical-Collective
10,21,15,8,Hierarchical-Collective
10,21,15,17,Hierarchical-Collective
19,21,10,5,Hierarchical-Collective
19,21,15,8,Hierarchical-Collective
10,21,6,17,Hierarchical-Collective
19,21,10,5,Hierarchical-Collective
10,23,12,17,Hierarchical-Collective
12,19,12,17,Hierarchical-Collective
10,23,17,12,Hierarchical-Collective
12,19,17,12,Hierarchical-Collective
19,23,17,8,Hierarchical-Collective
20,19,17,8,Hierarchical-Collective
10,23,17,12,Hierarchical-Collective
12,19,17,12,Hierarchical-Collective
10,23,8,12,Hierarchical-Collective
12,19,8,12,Hierarchical-Collective
8,12,19,21,Hierarchical-Individual
10,15,21,21,Hierarchical-Collective
11,20,13,21,Hierarchical-Collective
16,12,15,12,Hierarchical-Individual
18,15,17,12,Hierarchical-Collective
19,20,9,12,Hierarchical-Collective
8,12,11,25,Hierarchical-Individual
10,15,12,25,Hierarchical-Collective
11,20,5,25,Hierarchical-Collective
8,12,15,21,Hierarchical-Individual
10,15,17,21,Hierarchical-Collective
11,20,9,21,Hierarchical-Collective
16,12,15,12,Hierarchical-Individual
18,15,17,12,Hierarchical-Collective
19,20,9,12,Hierarchical-Collective
18,19,5,17,Distributed-Collective
20,10,11,17,Hierarchical-Individual
18,19,8,8,Distributed-Collective
20,10,15,8,Hierarchical-Individual
10,19,5,17,Distributed-Collective
11,10,11,17,Hierarchical-Individual
10,19,8,17,Distributed-Collective
11,10,15,17,Hierarchical-Individual
18,19,5,12,Distributed-Collective
20,10,11,12,Hierarchical-Individual
18,19,8,12,Distributed-Collective
20,10,15,12,Hierarchical-Individual
10,19,12,21,Distributed-Collective
11,10,19,21,Hierarchical-Individual
8,22,5,17,Distributed-Individual
8,22,5,17,Distributed-Individual
8,22,5,17,Distributed-Individual
8,22,5,17,Distributed-Individual
17,22,5,12,Distributed-Individual
8,22,5,21,Distributed-Individual
17,22,5,17,Distributed-Individual
17,22,5,17,Distributed-Individual
16,10,24,8,Distributed-Collective
16,19,12,17,Distributed-Individual
15,19,14,8,Hierarchical-Collective
14,19,9,8,Hierarchical-Individual
16,10,15,5,Distributed-Collective
16,19,5,8,Distributed-Individual
15,19,5,5,Hierarchical-Collective
14,19,5,5,Hierarchical-Individual
11,12,13,21,Distributed-Individual
20,12,13,12,Distributed-Individual
9,14,18,17,Distributed-Collective
12,16,17,17,Distributed-Collective
9,14,14,17,Distributed-Collective
12,16,13,17,Distributed-Collective
17,14,18,12,Distributed-Collective
20,16,17,12,Distributed-Collective
17,14,18,12,Distributed-Collective
20,16,17,12,Distributed-Collective
18,24,5,5,Distributed-Collective
10,24,7,17,Distributed-Collective
10,24,5,8,Distributed-Collective
10,24,7,8,Distributed-Collective
10,24,11,12,Distributed-Collective
18,24,7,5,Distributed-Collective
18,24,11,5,Distributed-Collective
10,24,11,12,Distributed-Collective
7,10,18,21,Hierarchical-Collective
16,10,22,8,Hierarchical-Collective
17,20,7,8,Distributed-Collective
16,12,19,8,Distributed-Individual
18,13,20,5,Hierarchical-Individual
17,20,5,17,Distributed-Collective
16,12,15,17,Distributed-Individual
18,13,16,8,Hierarchical-Individual
9,20,5,21,Distributed-Collective
7,12,15,21,Distributed-Individual
10,13,16,12,Hierarchical-Individual
17,20,11,12,Distributed-Collective
16,12,23,12,Distributed-Individual
18,13,24,5,Hierarchical-Individual
9,20,11,21,Distributed-Collective
7,12,23,21,Distributed-Individual
10,13,24,12,Hierarchical-Individual
17,20,11,17,Distributed-Collective
16,12,23,17,Distributed-Individual
18,13,24,8,Hierarchical-Individual
9,20,7,17,Distributed-Collective
7,12,19,17,Distributed-Individual
10,13,20,8,Hierarchical-Individual
9,20,11,25,Distributed-Collective
7,12,23,25,Distributed-Individual
10,13,24,17,Hierarchical-Individual
10,20,5,25,Distributed-Individual
10,20,5,25,Distributed-Collective
18,20,13,12,Distributed-Individual
18,20,12,12,Distributed-Collective
18,20,13,12,Distributed-Individual
18,20,12,12,Distributed-Collective
10,20,9,17,Distributed-Individual
10,20,8,17,Distributed-Collective
18,20,9,12,Distributed-Individual
18,20,8,12,Distributed-Collective
9,15,15,25,Distributed-Collective
9,15,15,17,Hierarchical-Collective
9,15,23,21,Distributed-Collective
9,15,23,12,Hierarchical-Collective
9,15,23,25,Distributed-Collective
9,15,23,17,Hierarchical-Collective
20,12,12,8,Hierarchical-Individual
17,22,6,8,Distributed-Individual
21,12,15,5,Distributed-Collective
20,12,17,12,Hierarchical-Individual
17,22,10,12,Distributed-Individual
21,12,19,5,Distributed-Collective
11,12,12,21,Hierarchical-Individual
9,22,6,21,Distributed-Individual
12,12,15,12,Distributed-Collective
11,12,12,21,Hierarchical-Individual
9,22,6,21,Distributed-Individual
12,12,15,12,Distributed-Collective
20,12,8,12,Hierarchical-Individual
17,22,5,12,Distributed-Individual
21,12,11,5,Distributed-Collective
11,12,17,25,Hierarchical-Individual
9,22,10,25,Distributed-Individual
12,12,19,17,Distributed-Collective
20,12,17,8,Hierarchical-Individual
17,22,10,8,Distributed-Individual
21,12,19,5,Distributed-Collective
11,15,25,21,Hierarchical-Collective
11,15,22,12,Hierarchical-Individual
7,20,10,21,Hierarchical-Collective
11,20,17,21,Hierarchical-Collective
11,15,25,25,Hierarchical-Collective
11,15,22,17,Hierarchical-Individual
7,20,10,25,Hierarchical-Collective
11,20,17,25,Hierarchical-Collective
11,15,20,21,Hierarchical-Collective
11,15,18,12,Hierarchical-Individual
7,20,5,21,Hierarchical-Collective
11,20,12,21,Hierarchical-Collective
20,18,12,17,Distributed-Individual
20,18,12,12,Distributed-Individual
19,23,5,8,Hierarchical-Collective
18,20,6,5,Hierarchical-Individual
18,15,9,5,Hierarchical-Individual
19,22,5,8,Distributed-Collective
10,23,9,25,Hierarchical-Collective
10,20,15,17,Hierarchical-Individual
10,15,17,17,Hierarchical-Individual
10,22,10,25,Distributed-Collective
10,23,5,21,Hierarchical-Collective
10,20,10,12,Hierarchical-Individual
10,15,13,12,Hierarchical-Individual
10,22,6,21,Distributed-Collective
14,13,14,12,Hierarchical-Collective
15,21,5,5,Distributed-Collective
17,21,5,12,Hierarchical-Collective
14,19,5,12,Hierarchical-Individual
17,19,5,12,Hierarchical-Collective
14,13,18,17,Hierarchical-Collective
15,21,5,8,Distributed-Collective
17,21,8,17,Hierarchical-Collective
14,19,5,17,Hierarchical-Individual
17,19,8,17,Hierarchical-Collective
16,13,20,5,Distributed-Individual
16,13,20,8,Distributed-Collective
8,13,20,8,Distributed-Individual
8,13,20,17,Distributed-Collective
8,13,16,8,Distributed-Individual
8,13,16,17,Distributed-Collective
8,13,20,8,Distributed-Individual
8,13,20,17,Distributed-Collective
16,13,20,5,Distributed-Individual
16,13,20,8,Distributed-Collective
16,13,20,5,Distributed-Individual
16,13,20,12,Distributed-Collective
16,13,16,5,Distributed-Individual
16,13,16,12,Distributed-Collective
16,13,24,5,Distributed-Individual
16,13,25,12,Distributed-Collective
16,13,24,5,Distributed-Individual
16,13,25,12,Distributed-Collective
16,13,24,5,Distributed-Individual
16,13,25,8,Distributed-Collective
8,11,19,21,Hierarchical-Individual
8,21,5,12,Hierarchical-Collective
9,11,15,21,Distributed-Individual
9,22,7,21,Hierarchical-Collective
8,11,23,17,Hierarchical-Individual
8,21,9,8,Hierarchical-Collective
9,11,20,17,Distributed-Individual
9,22,11,17,Hierarchical-Collective
8,11,15,25,Hierarchical-Individual
8,21,5,17,Hierarchical-Collective
9,11,11,25,Distributed-Individual
9,22,5,25,Hierarchical-Collective
8,11,15,17,Hierarchical-Individual
8,21,5,8,Hierarchical-Collective
9,11,11,17,Distributed-Individual
9,22,5,17,Hierarchical-Collective
9,20,7,21,Hierarchical-Collective
7,22,10,12,Distributed-Individual
9,20,7,21,Hierarchical-Collective
7,22,10,12,Distributed-Individual
9,20,7,17,Hierarchical-Collective
7,22,10,8,Distributed-Individual
17,20,7,12,Hierarchical-Collective
15,22,10,5,Distributed-Individual
8,14,12,12,Hierarchical-Individual
8,14,12,12,Hierarchical-Individual
8,14,16,17,Hierarchical-Individual
8,14,16,17,Hierarchical-Individual
16,14,16,5,Hierarchical-Individual
16,14,20,5,Hierarchical-Individual
8,14,20,12,Hierarchical-Individual
16,13,17,5,Hierarchical-Collective
17,23,8,5,Hierarchical-Collective
8,13,12,12,Hierarchical-Collective
8,23,5,12,Hierarchical-Collective
16,13,8,5,Hierarchical-Collective
17,23,5,5,Hierarchical-Collective
16,13,17,5,Hierarchical-Collective
17,23,8,5,Hierarchical-Collective
8,13,8,17,Hierarchical-Collective
8,23,5,17,Hierarchical-Collective
6,22,6,17,Hierarchical-Collective
6,22,10,17,Hierarchical-Collective
18,11,14,8,Distributed-Collective
18,22,12,8,Hierarchical-Individual
19,22,12,5,Distributed-Collective
10,11,14,21,Distributed-Collective
10,22,12,21,Hierarchical-Individual
10,22,12,12,Distributed-Collective
10,11,14,17,Distributed-Collective
10,22,12,17,Hierarchical-Individual
10,22,12,8,Distributed-Collective
10,11,10,17,Distributed-Collective
10,22,8,17,Hierarchical-Individual
10,22,8,8,Distributed-Collective
18,11,10,17,Distributed-Collective
18,22,8,17,Hierarchical-Individual
19,22,8,8,Distributed-Collective
10,11,14,25,Distributed-Collective
10,22,12,25,Hierarchical-Individual
10,22,12,17,Distributed-Collective
10,12,20,8,Hierarchical-Collective
12,20,5,8,Hierarchical-Individual
18,12,15,5,Hierarchical-Collective
21,20,5,5,Hierarchical-Individual
10,12,15,8,Hierarchical-Collective
12,20,5,8,Hierarchical-Individual
10,12,20,8,Hierarchical-Collective
12,20,5,8,Hierarchical-Individual
10,12,15,12,Hierarchical-Collective
12,20,5,12,Hierarchical-Individual
18,12,24,5,Hierarchical-Collective
21,20,9,5,Hierarchical-Individual
10,12,20,12,Hierarchical-Collective
12,20,5,12,Hierarchical-Individual
8,22,5,25,Hierarchical-Collective
8,21,10,25,Hierarchical-Individual
8,22,8,21,Hierarchical-Collective
8,21,14,21,Hierarchical-Individual
8,22,8,21,Hierarchical-Collective
8,21,14,21,Hierarchical-Individual
8,19,14,21,Distributed-Individual
16,19,10,8,Distributed-Individual
8,19,10,17,Distributed-Individual
8,19,6,25,Distributed-Individual
8,19,10,21,Distributed-Individual
21,21,11,17,Hierarchical-Collective
17,19,5,17,Hierarchical-Individual
13,21,15,21,Hierarchical-Collective
9,19,10,21,Hierarchical-Individual
13,21,7,17,Hierarchical-Collective
9,19,5,17,Hierarchical-Individual
21,21,15,8,Hierarchical-Collective
17,19,10,8,Hierarchical-Individual
9,21,6,21,Hierarchical-Individual
7,19,8,12,Hierarchical-Collective
8,11,8,12,Hierarchical-Collective
9,19,5,21,Distributed-Individual
9,21,10,17,Hierarchical-Individual
7,19,12,8,Hierarchical-Collective
8,11,12,8,Hierarchical-Collective
9,19,5,17,Distributed-Individual
9,21,10,21,Hierarchical-Individual
7,19,12,12,Hierarchical-Collective
8,11,12,12,Hierarchical-Collective
9,19,5,21,Distributed-Individual
9,21,10,17,Hierarchical-Individual
7,19,12,8,Hierarchical-Collective
8,11,12,8,Hierarchical-Collective
9,19,5,17,Distributed-Individual
10,21,9,8,Hierarchical-Individual
9,11,12,17,Hierarchical-Individual
10,21,9,12,Hierarchical-Individual
9,11,12,21,Hierarchical-Individual
10,21,13,12,Hierarchical-Individual
9,11,17,21,Hierarchical-Individual
10,21,9,17,Hierarchical-Individual
9,11,12,25,Hierarchical-Individual
10,21,9,12,Hierarchical-Individual
9,11,12,21,Hierarchical-Individual
19,21,9,5,Hierarchical-Individual
18,11,12,12,Hierarchical-Individual
19,11,12,5,Distributed-Collective
10,11,12,12,Distributed-Collective
19,11,17,5,Distributed-Collective
10,11,8,17,Distributed-Collective
19,11,17,5,Distributed-Collective
19,11,17,8,Distributed-Collective
7,23,5,21,Hierarchical-Collective
8,20,5,21,Hierarchical-Individual
10,12,16,21,Distributed-Collective
7,21,5,21,Distributed-Individual
7,23,8,21,Hierarchical-Collective
8,20,6,21,Hierarchical-Individual
10,12,20,21,Distributed-Collective
7,21,5,21,Distributed-Individual
7,23,8,17,Hierarchical-Collective
8,20,6,17,Hierarchical-Individual
10,12,20,17,Distributed-Collective
7,21,5,17,Distributed-Individual
7,23,8,21,Hierarchical-Collective
8,20,6,21,Hierarchical-Individual
10,12,20,21,Distributed-Collective
7,21,5,21,Distributed-Individual
16,23,8,12,Hierarchical-Collective
17,20,6,12,Hierarchical-Individual
19,12,20,12,Distributed-Collective
16,21,5,12,Distributed-Individual
9,19,17,12,Hierarchical-Individual
9,19,12,12,Hierarchical-Individual
9,19,12,8,Hierarchical-Individual
9,19,8,17,Hierarchical-Individual
9,19,12,8,Hierarchical-Individual
17,19,8,5,Hierarchical-Individual
9,19,12,12,Hierarchical-Individual
9,19,12,8,Hierarchical-Individual
12,21,5,21,Distributed-Collective
11,20,8,21,Hierarchical-Individual
21,21,11,8,Distributed-Collective
19,20,17,8,Hierarchical-Individual
21,21,11,12,Distributed-Collective
19,20,17,12,Hierarchical-Individual
14,12,19,12,Hierarchical-Collective
14,12,14,12,Hierarchical-Collective
14,12,19,8,Hierarchical-Collective
14,12,14,8,Hierarchical-Collective
6,12,23,21,Hierarchical-Collective
5,12,18,21,Hierarchical-Collective
6,12,23,17,Hierarchical-Collective
5,12,18,17,Hierarchical-Collective
16,11,24,12,Hierarchical-Collective
16,21,11,12,Hierarchical-Individual
15,21,14,12,Distributed-Collective
15,19,8,5,Hierarchical-Collective
16,11,24,8,Hierarchical-Collective
16,21,11,8,Hierarchical-Individual
15,21,14,8,Distributed-Collective
15,19,8,5,Hierarchical-Collective
7,11,20,21,Hierarchical-Collective
8,21,7,21,Hierarchical-Individual
7,21,10,21,Distributed-Collective
7,19,5,12,Hierarchical-Collective
7,11,20,21,Hierarchical-Collective
8,21,7,21,Hierarchical-Individual
7,21,10,21,Distributed-Collective
7,19,5,12,Hierarchical-Collective
9,22,15,12,Hierarchical-Individual
11,23,15,21,Hierarchical-Collective
17,22,10,5,Hierarchical-Individual
20,23,11,12,Hierarchical-Collective
17,22,10,5,Hierarchical-Individual
20,23,11,12,Hierarchical-Collective
9,22,6,17,Hierarchical-Individual
11,23,7,25,Hierarchical-Collective
9,22,6,17,Hierarchical-Individual
11,23,7,25,Hierarchical-Collective
8,22,10,12,Hierarchical-Individual
9,23,12,21,Hierarchical-Collective
10,22,5,21,Distributed-Individual
8,22,10,12,Hierarchical-Individual
9,23,12,21,Hierarchical-Collective
10,22,5,21,Distributed-Individual
17,19,11,5,Hierarchical-Individual
21,18,6,5,Distributed-Collective
17,19,11,5,Hierarchical-Individual
21,18,6,5,Distributed-Collective
9,19,11,12,Hierarchical-Individual
13,18,6,12,Distributed-Collective
17,19,7,8,Hierarchical-Individual
